"Question name","#","Section","Question Id","Question text","Question type"
"B11-4","37","SECTION B: Kitchen Monitoring ","1514110","Is a PATS+ or ECM monitor being used in the kitchen?","Select One"
"B11-5","38","SECTION B: Kitchen Monitoring ","1514111","Enter ECM monitor ID","Free Text"
"B11-6","39","SECTION B: Kitchen Monitoring ","1514112","Enter PATS+ monitor ID","Free Text"
"B13","40","SECTION B: Kitchen Monitoring ","1514114","Record by which stove the monitors were placed. (Select all that apply).","Select Many"
"B13a","41","SECTION B: Kitchen Monitoring ","1514115","Other, specify","Single Line"
"B14","42","SECTION B: Kitchen Monitoring ","1514116","MicroPEM inlet distance from edge of stove burner (cm)","Decimal"
"B15","43","SECTION B: Kitchen Monitoring ","1514117","MicroPEM inlet distance from floor (cm)","Decimal"
"B18","44","SECTION B: Kitchen Monitoring ","1514119","Ask the participant if you may please take picture(s) of their stoves with the Geocene dots on them and with the stand with monitors attached near them?","Select One"
"B19","45","SECTION B: Kitchen Monitoring ","1514120","Please upload picture(s)","Photo"
"second photo","46","SECTION B: Kitchen Monitoring ","1547748","Please upload a second photo of the HAP monitors and stove in the same picture if possible.","Single Line"
"Number Of Children","47","SECTION C: CHILD MONITORING ","1522288","How many children will you place the ECM on?","Integer"
"C1","48","SECTION C: CHILD MONITORING ","1514433","How old is child 1 (years)?","Integer"
"C2","49","SECTION C: CHILD MONITORING ","1514434","Record Gender of child 1 (no need to ask)","Select One"
"Age 2","50","SECTION C: CHILD MONITORING ","1522289","How old is child 2 (years)?","Integer"
"Gender 2","51","SECTION C: CHILD MONITORING ","1522290","Record gender of child 2","Select One"
"Age 3","52","SECTION C: CHILD MONITORING ","1522291","How old is child 3 (years)?","Integer"
"Gender 3","53","SECTION C: CHILD MONITORING ","1522292","Record gender of child 3","Select One"
"C3-0","54","SECTION C: CHILD MONITORING ","1521393","Child 1 ECM ID","Free Text"
"Child 2 ECM","55","SECTION C: CHILD MONITORING ","1522293","Child 2 ECM ID","Free Text"
"Child 3 ECM","56","SECTION C: CHILD MONITORING ","1522294","Child 3 ECM ID","Free Text"
"D1","57","SECTION D: Living Room Monitoring","1514438","Are monitors being placed in the living room (is UNOPs study being conducted in this home)?","Select One"
"D1-1","58","SECTION D: Living Room Monitoring","1518966","What type of room will monitors be placed in?","Select One"
"D2","59","SECTION D: Living Room Monitoring","1514439","What are the living rooms walls primarily made of?","Select One"
"D3","60","SECTION D: Living Room Monitoring","1514440","(Living room) PATS+ Instrument ID","Free Text"
"D4","61","SECTION D: Living Room Monitoring","1514441","(Living room) LASCAR ID","Free Text"
"D5","62","SECTION D: Living Room Monitoring","1514442","(Living room) Beacon Logger ID","Free Text"
"D6","63","SECTION D: Living Room Monitoring","1514444","(Living room) PATS+ monitor distance from floor (cm)","Decimal"
"D7","64","SECTION D: Living Room Monitoring","1514445","Ask the participant if you may please take picture(s) of the equipment set-up in living room.","Select One"
"D8","65","SECTION D: Living Room Monitoring","1514446","Please upload picture(s)","Photo"
"E1","66","SECTION E: STARTING THE MONITORS","1514447","Please turn on the microPEM in cooks apron, ECM in childs apron and microPEM on stand in kitchen). Check that other devices (PATS+, Lascars, and Beacon Loggers) are already running.  Please record the start time (24-hour time 00:00-23:59)","Time"
"TurnOn","67","SECTION E: STARTING THE MONITORS","1542417","Have all the microPEMs been turned on (you can hear the sound coming from the microPEM)?","Select One"
