mission_id,mission_name,meter_name,meter_id,sample_interval,notes,campaign,creator_username
5d3d8b8e-0000-0000-0000-CC78AB6E12AD,Dot-12AD | 2019-07-28 06:47,Dot-12AD,CC:78:AB:6E:12:AD,300,"sensor en la casa del señor odelon santos verde para una cocina tradicional, en el cp de yacumali distrito de jivia en la provincia de lauricocha en huanuco",NAMA Piloto Solar y Ventilador,namas
163f17dc-f6ce-4808-844f-bf4b23b35ba5,SLV_013_TS_5,,71000000040C8A53,480,,Smokeless Village,bamg-01
5d3dd2e5-0000-0000-0000-CC78AB77F9D8,Dot-F9D8 | 2019-07-28 11:51,Dot-F9D8,CC:78:AB:77:F9:D8,300,el sensor ubicado en la casa de la señora timotea verde lorenzo para la cocina tipo ventilador en el cp de yacumali del distrito de jivia de la provincia de lauricocha en la region huanuco,NAMA Piloto Solar y Ventilador,namas
5d3dd3fb-0000-0000-0000-CC78AB6E098B,Dot-098B | 2019-07-28 11:53,Dot-098B,CC:78:AB:6E:09:8B,300,sensor instalado en la cocina tradicional en la casa de la señora Tomitea Verde Santos en el CP Yacumali en el Distrito de Jivia Provincia Lauricocha Region Huanuco,NAMA Piloto Solar y Ventilador,namas
1da8f565-5a0c-48e9-a59d-3d45405692df,SLV_015_TS_5,,B7000000041B8F53,480,,Smokeless Village,bamg-01
5d441ea6-0000-0000-0000-CC78AB6E0DDC,Dot-0DDC | 2019-08-02 06:28,Dot-0DDC,CC:78:AB:6E:0D:DC,300,sensor instalado en la casa del señor eduardo paucar en la cocina tradicional en el cp chuamba en el distrito de cullhuas en la provincia de huancayo en la region junin,NAMA Piloto Solar y Ventilador,namas
5f43efed-e4f1-4913-95db-5002268dd4c1,SLV_016_TS_5,,240000000431D453,480,,Smokeless Village,bamg-01
5c067788-0000-0000-0000-CC78AB77E9EC,3-7-05-02,Dot-E9EC,CC:78:AB:77:E9:EC,300,OHC,MINEM test campaign,galinka29@hotmail.com
5d442072-0000-0000-0000-CC78AB77FFA9,Dot-FFA9 | 2019-08-02 06:35,Dot-FFA9,CC:78:AB:77:FF:A9,300,"En la casa del sr. Eduardo Simeon, paucar se instala un sensor para la cocina tipo GLP en el anexo chuamba, Distrito Cullhuas, Provincia Huancayo, Region Junin",NAMA Piloto Solar y Ventilador,namas
5be0724b-0000-0000-0000-CC78AB77FFC7,001-09-mgp,Dot-FFC7,CC:78:AB:77:FF:C7,300,,MINEM test campaign,galinka29@hotmail.com
5d442ce7-0000-0000-0000-CC78AB6E1090,Dot-1090 | 2019-08-02 07:27,Dot-1090,CC:78:AB:6E:10:90,300,"En la casa de la señora Yulincia canchanya vasquez se instala un sensor en la cocina tipo tradicional en el anexo Chuambas, Distrito Cullhuas,  Provincia Huancayo, Region Junin.",NAMA Piloto Solar y Ventilador,namas
5d52ef99-0000-0000-0000-CC78AB77E9F1,Dot-E9F1 | 2019-08-13 12:11,Dot-E9F1,CC:78:AB:77:E9:F1,300,sensor instalado en la cocina solar del señor daniel matamet quispe en el cp tantamaco en el distriro de macusani en la provincia de carabaya en la region de puno,NAMA Piloto Solar y Ventilador,namas
8e94af9f-2ad8-4573-ac10-64fdd6c22779,SLV_020_TS_5,,CF00000004088253,480,,Smokeless Village,bamg-01
a082491e-1b62-4262-9c6d-51e4f99ffcf9,SLV_009_TS_5,,7D0000000452E153,480,,Smokeless Village,bamg-01
5d5aa62e-0000-0000-0000-CC78AB77FE60,Dot-FE60 | 2019-08-19 08:36,Dot-FE60,CC:78:AB:77:FE:60,300,"sensor instalado en la casa de la señora victoria maura quico coaguila cp san pedro de camata, distrito de ubinas region moquegua",NAMA Piloto Solar y Ventilador,namas
5d5aaaef-0000-0000-0000-CC78AB6E0377,Dot-0377 | 2019-08-19 08:57,Dot-0377,CC:78:AB:6E:03:77,300,sensor en cocina solar en la casa de la señora victoria quico coaguila cp camata distrito ubinas region moquegua,NAMA Piloto Solar y Ventilador,namas
5d5aa71b-0000-0000-0000-CC78AB6E0377,Dot-0377 | 2019-08-19 08:41,Dot-0377,CC:78:AB:6E:03:77,300,sensor instalado en la casa de la señora victoria maura quico coaguila en cp camata distrito ubinas region moquegua,NAMA Piloto Solar y Ventilador,namas
5d5aa88a-0000-0000-0000-CC78AB77FE4D,Dot-FE4D | 2019-08-19 08:46,Dot-FE4D,CC:78:AB:77:FE:4D,300,sensor instalado en la casa de la señora juana coaguila benegas en la cocina tradicional del cp camata distrito de ubinas region moquegua,NAMA Piloto Solar y Ventilador,namas
2ebac755-3266-43e4-860f-cf6414ff448f,SLV_014_TS_5,,67000000043CA553,480,,Smokeless Village,bamg-01
5be1ae93-0000-0000-0000-CC78AB6E0DDC,01-mgp /06/11/18,Dot-0DDC,CC:78:AB:6E:0D:DC,300,,MINEM test campaign,galinka29@hotmail.com
5be1bbe6-0000-0000-0000-CC78AB6E0377,002 ohc,Dot-0377,CC:78:AB:6E:03:77,300,OHC,MINEM test campaign,olguita
5be1b1cb-0000-0000-0000-CC78AB6DFD75,01-mgp cocina a gas 06/11/18,Dot-FD75,CC:78:AB:6D:FD:75,300,,MINEM test campaign,galinka29@hotmail.com
5be1c690-0000-0000-0000-CC78AB6E0DCD,02 MGP cocina tradicional 06 /11/2018,Dot-0DCD,CC:78:AB:6E:0D:CD,300,MGP,MINEM test campaign,galinka29@hotmail.com
5be2ecba-0000-0000-0000-CC78AB77F23B,03 mgp 07/11/18 kpt mejorada,Dot-F23B,CC:78:AB:77:F2:3B,300,,MINEM test campaign,galinka29@hotmail.com
5be337b2-0000-0000-0000-CC78AB6E0CE9,06 mgp kpt mejorada 07/11/18,Dot-0CE9,CC:78:AB:6E:0C:E9,300,MGP,MINEM test campaign,galinka29@hotmail.com
5be339f4-0000-0000-0000-CC78AB77FAE1,06 mgp 07/11/18,,CC:78:AB:77:FA:E1,300,,MINEM test campaign,galinka29@hotmail.com
5be974fa-0000-0000-0000-CC78AB77FFCC,02-07-mgp,Dot-FFCC,CC:78:AB:77:FF:CC,300,MGP,MINEM test campaign,galinka29@hotmail.com
5be2ffe7-0000-0000-0000-CC78AB77FE60,04 mgp kpt mejorada 07/11/18,Dot-FE60,CC:78:AB:77:FE:60,300,,MINEM test campaign,galinka29@hotmail.com
5be33a6e-0000-0000-0000-CC78AB77FAE1,06 mgp 07/11/18,Dot-FAE1,CC:78:AB:77:FA:E1,300,mgp 07/11/18,MINEM test campaign,galinka29@hotmail.com
5be9a786-0000-0000-0000-CC78AB781FF4,06 04 mgp,Dot-1FF4,CC:78:AB:78:1F:F4,300,MGP,MINEM test campaign,galinka29@hotmail.com
5be9a7ce-0000-0000-0000-CC78AB77E9B2,06 07 mgp,Dot-E9B2,CC:78:AB:77:E9:B2,300,,MINEM test campaign,galinka29@hotmail.com
5be31299-0000-0000-0000-CC78AB6E0FF2,03 ohc,Dot-0FF2,CC:78:AB:6E:0F:F2,300,OHC,MINEM test campaign,olguita
5be98b1a-0000-0000-0000-CC78AB6E1090,02 7 ohc,Dot-1090,CC:78:AB:6E:10:90,300,OHC,MINEM test campaign,olguita
5beac81d-0000-0000-0000-CC78AB77FFC4,03 mgp,Dot-FFC4,CC:78:AB:77:FF:C4,300,MGP,MINEM test campaign,galinka29@hotmail.com
5be3058e-0000-0000-0000-CC78AB77E9F1,05 ohc,Dot-E9F1,CC:78:AB:77:E9:F1,300,OHC,MINEM test campaign,olguita
5be32d81-0000-0000-0000-CC78AB6E050A,05 ohc,Dot-050A,CC:78:AB:6E:05:0A,300,OHC,MINEM test campaign,olguita
5be99f62-0000-0000-0000-CC78AB6E0551,03 07 ohc,Dot-0551,CC:78:AB:6E:05:51,300,OHC,MINEM test campaign,olguita
5be2e90e-0000-0000-0000-CC78AB6E12AD,370401,Dot-12AD,CC:78:AB:6E:12:AD,300,,MINEM test campaign,olguita
82a0b5c4-ed9c-4ab1-92b4-b2649c2e4dde,SLV_018_TS_5,,3500000004190A53,480,,Smokeless Village,bamg-01
2d401b77-6473-46cf-ab65-39c5d3c5c2d8,SLV_019_TS_5,,54000000041EBB53,480,,Smokeless Village,bamg-01
5bd33ef0-0000-0000-0000-CC78AB6E0346,minem test biolite,Dot-0346,CC:78:AB:6E:03:46,300,se instalo en la parte interior de la camera,MINEM test campaign,ricpie@gmail.com
80f6c1d4-7adc-4e7d-8fd7-b7c6353dd948,SLV_025_TS_5,,EF0000000409B253,480,,Smokeless Village,bamg-01
623ece07-d859-4301-9344-0385d82914f0,SVL_002_TS_5,,B80000000457C953,480,,Smokeless Village,bamg-01
ca0a48e0-49d2-4858-a713-a9d994d5abad,SLV_006_TS_5,,840000000440D453,480,,Smokeless Village,bamg-01
d01bb330-87f4-4677-91ac-b7e3fffa25ff,SLV_010-TS_5,,1E0000000418E053,480,,Smokeless Village,bamg-01
5bf58f46-0000-0000-0000-CC78AB6E0578,3-2-05-05,Dot-0578,CC:78:AB:6E:05:78,300,MGP,MINEM test campaign,galinka29@hotmail.com
5bf421fd-0000-0000-0000-CC78AB6E1566,3-2-05-02,Dot-1566,CC:78:AB:6E:15:66,300,MGP,MINEM test campaign,galinka29@hotmail.com
5bf55cd1-0000-0000-0000-CC78AB6DFC50,03-02-05-03,Dot-FC50,CC:78:AB:6D:FC:50,300,MGP,MINEM test campaign,galinka29@hotmail.com
5bf41a4a-0000-0000-0000-CC78AB77F22C,3-2-05-01,Dot-F22C,CC:78:AB:77:F2:2C,300,,MINEM test campaign,galinka29@hotmail.com
5bf56a24-0000-0000-0000-CC78AB77FE1F,3-2-05-04,Dot-FE1F,CC:78:AB:77:FE:1F,300,MGP,MINEM test campaign,galinka29@hotmail.com
5bf55c5a-0000-0000-0000-CC78AB77EA8D,3-7-5-3,Dot-EA8D,CC:78:AB:77:EA:8D,300,,MINEM test campaign,galinka29@hotmail.com
5bf54425-0000-0000-0000-CC78AB77FCF1,3-7-04-02,Dot-FCF1,CC:78:AB:77:FC:F1,300,,MINEM test campaign,galinka29@hotmail.com
5bf574b5-0000-0000-0000-CC78AB77F9D8,3-7-5-1,Dot-F9D8,CC:78:AB:77:F9:D8,300,MGP,MINEM test campaign,galinka29@hotmail.com
5bf58f1c-0000-0000-0000-CC78AB6E0578,3-2-05-05,Dot-0578,CC:78:AB:6E:05:78,300,,MINEM test campaign,galinka29@hotmail.com
5bf59eb0-0000-0000-0000-CC78AB77FCD5,3-7-05-01,Dot-FCD5,CC:78:AB:77:FC:D5,300,MGP,MINEM test campaign,galinka29@hotmail.com
5bf58f75-0000-0000-0000-CC78AB6E0FA2,3-7-05-05,Dot-0FA2,CC:78:AB:6E:0F:A2,300,MGP,MINEM test campaign,galinka29@hotmail.com
5bf55bb4-0000-0000-0000-CC78AB77FE5C,3-2-05-03,Dot-FE5C,CC:78:AB:77:FE:5C,300,OHC,MINEM test campaign,olguita
5c067616-0000-0000-0000-CC78AB77FAF5,3-7-05-01,Dot-FAF5,CC:78:AB:77:FA:F5,300,OHC,MINEM test campaign,galinka29@hotmail.com
ca5004cf-3507-4c40-ade6-8d52db713998,SLV_012_TS_5,,C600000004123853,480,,Smokeless Village,bamg-01
5bd71d20-0000-0000-0000-CC78AB77FFC4,115  3,Dot-FFC4,CC:78:AB:77:FF:C4,300,,MINEM test campaign,galinka29@hotmail.com
5bf4186c-0000-0000-0000-CC78AB77FE4D,3-2-05-01,Dot-FE4D,CC:78:AB:77:FE:4D,300,OHC,MINEM test campaign,olguita
5bf566ed-0000-0000-0000-CC78AB6E0526,3-7-05-01,Dot-0526,CC:78:AB:6E:05:26,300,ohc,MINEM test campaign,olguita
5bf591e8-0000-0000-0000-CC78AB6DF880,3-2-05-05,Dot-F880,CC:78:AB:6D:F8:80,300,OHC,MINEM test campaign,olguita
5bf572c0-0000-0000-0000-CC78AB6E098B,3-2-05-04,Dot-098B,CC:78:AB:6E:09:8B,300,OHC,MINEM test campaign,olguita
5bfbe3f7-0000-0000-0000-CC78AB6DFC74,3-2-05-08,Dot-FC74,CC:78:AB:6D:FC:74,300,MGP,MINEM test campaign,galinka29@hotmail.com
5be98edb-0000-0000-0000-CC78AB77FCBB,05-04 -mgp,Dot-FCBB,CC:78:AB:77:FC:BB,300,MGP,MINEM test campaign,galinka29@hotmail.com
5be2f869-0000-0000-0000-CC78AB77F59F,04 ohc,Dot-F59F,CC:78:AB:77:F5:9F,300,OHC,MINEM test campaign,olguita
5bf56bf7-0000-0000-0000-CC78AB77FE58,3-2-05-04,Dot-FE58,CC:78:AB:77:FE:58,300,MGP,MINEM test campaign,galinka29@hotmail.com
5be07361-0000-0000-0000-CC78AB77FFC7,001-09-mgp,Dot-FFC7,CC:78:AB:77:FF:C7,300,MGP,MINEM test campaign,galinka29@hotmail.com
5c361b1c-0000-0000-0000-CC78ABADA34F,rp,Dot_A34F,CC:78:AB:AD:A3:4F,300,,,ricpie@gmail.com
5bf429e0-0000-0000-0000-CC78AB77FCCC,3-2-05-02,Dot-FCCC,CC:78:AB:77:FC:CC,300,OHC,MINEM test campaign,olguita
270ab270-b64b-41e9-88ed-6f61aca26cce,SLV_017_TS_5,,46000000041B4D53,480,,Smokeless Village,bamg-01
2e8e5f50-b90c-4c6b-bc3f-3fd8cd1c6d47,SLV_021_TS_5,,A900000004401253,480,,Smokeless Village,bamg-01
8b97e473-d7c5-49f8-9c70-1bb4508a7354,SLV_011_TS_5,,780000000462C053,480,,Smokeless Village,bamg-01
5c067cdf-0000-0000-0000-CC78AB77EA80,3-7-05-02,Dot-EA80,CC:78:AB:77:EA:80,300,,MINEM test campaign,galinka29@hotmail.com
b4450a7e-774e-4b2d-9ecf-e8becb35c931,SLV_024_TS_4,,520000000459D753,480,,Smokeless Village,bamg-01
74ffa472-9461-4315-a1c8-bcf9abcc612e,SLV_002_TS_4,,B80000000457C953,480,,Smokeless Village,bamg-01
5c0677d4-0000-0000-0000-CC78AB77FFA9,3-7-05-02,Dot-FFA9,CC:78:AB:77:FF:A9,300,OHC,MINEM test campaign,galinka29@hotmail.com
5bf5732a-0000-0000-0000-CC78AB77FFC7,3-7-05-04,Dot-FFC7,CC:78:AB:77:FF:C7,300,ohc,MINEM test campaign,olguita
6a7e5732-7bd7-4d07-9441-3401aef4ff5e,SLV_003_TS_4,,1F0000000457F453,480,,Smokeless Village,bamg-01
5be1bc29-0000-0000-0000-CC78AB6E0DBC,Dot-0DBC | 2018-11-06 11:06,Dot-0DBC,CC:78:AB:6E:0D:BC,300,OHC,MINEM test campaign,olguita
5d931c98-0000-0000-0000-CC78AB77F721,Dot-F721 | 2019-10-01 12:28,Dot-F721,CC:78:AB:77:F7:21,300,,CAA-Kenya,caakenya
5cdeecb9-0000-0000-0000-CC78AB77FE5C,,Dot-FE5C,CC:78:AB:77:FE:5C,300,hhhhgg,MINEM test campaign,ricpie@gmail.com
5cdeec91-0000-0000-0000-CC78ABADA34F,,Dot_A34F,CC:78:AB:AD:A3:4F,300,ghhj,MINEM test campaign,ricpie@gmail.com
5cdeecdb-0000-0000-0000-CC78ABADA34F,daniella,Dot_A34F,CC:78:AB:AD:A3:4F,300,,MINEM test campaign,ricpie@gmail.com
5cdeecef-0000-0000-0000-CC78AB77FE5C,DaniellaTest,Dot-FE5C,CC:78:AB:77:FE:5C,300,,MINEM test campaign,ricpie@gmail.com
5cdeecf3-0000-0000-0000-CC78ABADA34F,hghh,Dot_A34F,CC:78:AB:AD:A3:4F,300,,MINEM test campaign,ricpie@gmail.com
5cdeef19-0000-0000-0000-CC78AB77FE5C,test5,Dot-FE5C,CC:78:AB:77:FE:5C,3,,,ricpie@gmail.com
5cdeef56-0000-0000-0000-CC78AB77FE5C,tszt4,Dot-FE5C,CC:78:AB:77:FE:5C,2,,MINEM test campaign,ricpie@gmail.com
5cdeeed1-0000-0000-0000-CC78AB77FE5C,trst4,Dot-FE5C,CC:78:AB:77:FE:5C,300,,MINEM test campaign,ricpie@gmail.com
39f85c12-41d7-49c7-acbf-397336406ac1,SLV_004_TS_4,,8B00000004597053,480,,Smokeless Village,bamg-01
c980a2ab-2700-4a6a-9c3c-8503983ef4be,SLV_005_TS_4,,5700000004212853,480,,Smokeless Village,bamg-01
1e51d7a1-6446-45b4-9f5a-43b13fadc251,SLV_006_TS_4,,840000000440D453,480,,Smokeless Village,bamg-01
8c54d25f-5e2a-4ab3-8046-2e56bd4953c0,SLV_007_TS_4,,5D00000004624A53,480,,Smokeless Village,bamg-01
7ec3d017-37d4-44c4-886d-0ff9d545c0fe,SLV_010_TS_4,,1E0000000418E053,480,,Smokeless Village,bamg-01
5bf55c06-0000-0000-0000-CC78AB78010A,3-2-05-03,Dot-010A,CC:78:AB:78:01:0A,300,OHC,MINEM test campaign,olguita
37c1693b-8610-4120-8e4b-81bc50c570b9,SLV_011_TS_4,,780000000462C053,480,,Smokeless Village,bamg-01
e7e453dd-a516-4855-b809-c4e9f1f1b683,SLV_013_TS_4,,71000000040C8A53,480,,Smokeless Village,bamg-01
0bc9e0b6-b47d-464b-ac67-9ad7d167c7cd,SLV_016_TS_4,,240000000431D453,480,,Smokeless Village,bamg-01
d3d8cebe-3859-431f-a0ff-2e4d738e2316,SLV_017_TS_4,,46000000041B4D53,480,,Smokeless Village,bamg-01
f1b3a674-8a17-443f-85a2-c4c719c84538,SLV_008_TS_4,,2600000004237C53,480,,Smokeless Village,bamg-01
1c9f46b0-6e80-4bfd-b86e-665cfea02dbd,SLV_009_TS_4,,7D0000000452E153,480,,Smokeless Village,bamg-01
2c799598-c5d4-4500-b821-7de9329d2549,SLV_012_TS_4,,C600000004123853,480,,Smokeless Village,bamg-01
5cffe942-0000-0000-0000-A0E6F86DEAA5,test,Dot_EAA5,A0:E6:F8:6D:EA:A5,300,,MINEM test campaign,admin
5cdeed4f-0000-0000-0000-CC78ABADA34F,Dot-A34F | 2019-12-17 23:01:35,Dot-A34F,CC:78:AB:AD:A3:4F,300,,MINEM test campaign,ricpie@gmail.com
72ccca13-b243-468f-9e12-74f56fd2ce4d,SLV_014_TS_4,,67000000043CA553,480,,Smokeless Village,bamg-01
709bb092-5b07-43e4-b9ed-c6a0116682fa,SLV_015_TS_4,,B7000000041B8F53,480,,Smokeless Village,bamg-01
ea7be7c6-8dd7-421d-babe-48dfafb911fd,SLV_018_TS_4,,3500000004190A53,480,,Smokeless Village,bamg-01
5f6de1db-3a83-479c-a2a5-9a602dc1541f,SLV_019_TS_4,,54000000041EBB53,480,,Smokeless Village,bamg-01
0525ec5e-f10d-468d-a1ba-eff0059218ea,SLV_020_TS_4,,CF00000004088253,480,,Smokeless Village,bamg-01
992ba6c4-b664-4a53-87ba-6feda6f2d7b8,SL_021_TS_4,,A900000004401253,480,,Smokeless Village,bamg-01
fb1b3b2a-1e36-453b-8ad6-93f36ab22c04,SLV_)25_TS_4,,EF0000000409B253,480,,Smokeless Village,bamg-01
1d5a954d-73f9-4301-9ef8-5b8e1d118fd3,SLV_09_TS_3,,7D0000000452E153,480,,Smokeless Village,bamg-01
c2716873-b80b-4192-8776-6de6919edfc4,SLV_12_TS_3,,C600000004123853,480,,Smokeless Village,bamg-01
25a52ae9-b175-4c7f-b150-ae6da6ddc634,SLV_14_TS_3,,67000000043CA553,480,,Smokeless Village,bamg-01
600f874d-add3-4090-b7ca-5efbc265efc3,SLV_18_TS_3,,3500000004190A53,480,,Smokeless Village,bamg-01
906ea4d7-7ddf-42ff-9538-af78f5e97f80,SLV_19_TS_3,,54000000041EBB53,480,,Smokeless Village,bamg-01
a405bc90-2895-4826-8eb0-6767d059b0a0,SLV_20_TS_3,,CF00000004088253,480,,Smokeless Village,bamg-01
3997222f-2702-4d58-ae93-733df4f3c892,SLV_21_TS_3,,A900000004401253,480,,Smokeless Village,bamg-01
03bd0be9-de61-4ae4-b38a-e32348450049,SLV_25_TS_3,,EF0000000409B253,480,,Smokeless Village,bamg-01
