"Question name","#","Section","Question Id","Question text","Question type"
"Other modes of payment","27","SOCIO-ECONOMIC CHARACTERISTICS ","1397122","Translate from English to French: Is the household head paid in cash or kind for their main job?","Select One"
"Household income","28","SOCIO-ECONOMIC CHARACTERISTICS ","1395017","Translate from English to French: What is the average monthly income for the household (please estimate in CFA)?","Select One"
"Income stability","29","SOCIO-ECONOMIC CHARACTERISTICS ","1395018","Translate from English to French: Is the income of this household affected by seasonality?","Select One"
"Highest paid months","30","SOCIO-ECONOMIC CHARACTERISTICS ","1397126","Translate from English to French: Which months do you earn most?","Select Many"
"Does the income suffice","31","SOCIO-ECONOMIC CHARACTERISTICS ","1397127","Translate from English to French: Do you feel you have enough money available for your weekly required spend?","Select One"
"Access to drinking water","32","SOCIO-ECONOMIC CHARACTERISTICS ","1395020","Translate from English to French: Do you have access to drinking water in your house?","Select One"
"Main water source","33","SOCIO-ECONOMIC CHARACTERISTICS ","1395021","Translate from English to French: Where do you obtain most of your water for your household needs?","Select One"
"Water","34","SOCIO-ECONOMIC CHARACTERISTICS ","1509656","Translate from English to French: Other, specify","Single Line"
"Access to flush toilet","35","SOCIO-ECONOMIC CHARACTERISTICS ","1395022","Translate from English to French: Do you have a septic tank or flushing toilet inside the house","Select One"
"Access to yard latrine","36","SOCIO-ECONOMIC CHARACTERISTICS ","1395023","Translate from English to French: Do you have a latrine in the yard?","Select One"
"D1","37","FUELS AND STOVES USED FOR COOKING","1395025","Translate from English to French: What does this household use for cooking most of the time, including cooking food, making tea/coffee, boiling drinking water? Please tell me the cookstove or device that is used for the most time.","Select One"
"D2","38","FUELS AND STOVES USED FOR COOKING","1509657","Translate from English to French: Where is your food prepared if you dont cook in your household?","Select Many"
"D1-1a","39","FUELS AND STOVES USED FOR COOKING","1510102","Translate from English to French: Other, specify","Single Line"
"D3","40","FUELS AND STOVES USED FOR COOKING","1509658","Translate from English to French: What does this household use for cooking most of the time, including cooking food, making tea/coffee, boiling drinking water? Please tell me the cookstove or device that is used for most of the time. (Circle one option that best matches what respondent reports).","Select One"
"D3a","41","FUELS AND STOVES USED FOR COOKING","1509659","Translate from English to French: Other, specify","Single Line"
"D2-2","42","FUELS AND STOVES USED FOR COOKING","1509660","Translate from English to French: (Ask only if the respondent selected Cooking gas/LPG stove in question D2) Is your cooking gas/LPG stove currently functional?","Select One"
"Presence of fan","43","FUELS AND STOVES USED FOR COOKING","1395165","Translate from English to French: Does your stove have a fan?","Select One"
"Most frequently used fuel","44","FUELS AND STOVES USED FOR COOKING","1395026","Translate from English to French: What type of fuel or energy source does this household use most of the time in this cookstove or device for cooking food, making tea/coffee and boiling drinking water","Select One"
"D3ac","45","FUELS AND STOVES USED FOR COOKING","1510103","Translate from English to French: Other, specify","Single Line"
"Availability of fuel","46","FUELS AND STOVES USED FOR COOKING","1395027","Translate from English to French: In the past 12 months, how often was this fuel or energy source unavailable in the quantity you desired?","Select One"
"D5","47","FUELS AND STOVES USED FOR COOKING","1509661","Translate from English to French: Excluding the stove mentioned in D2, what does this household use for cooking most of the time, including cooking food, making tea/coffee, boiling drinking water? Please tell me the cookstove or device that is used for the most time.","Select One"
"D5a","48","FUELS AND STOVES USED FOR COOKING","1509662","Translate from English to French: Other, specify","Single Line"
"Other fuels used","49","FUELS AND STOVES USED FOR COOKING","1395029","Translate from English to French: What other fuels and energy sources does this household use in this cookstove or other device for cooking food, making tea/coffee, boiling drinking water and/or starting the fire?","Select Many"
"Main alternative fuel","50","FUELS AND STOVES USED FOR COOKING","1397307","Translate from English to French: Which of these fuels do you use most frequently after the main/ primary fuel?","Select One"
"D6-1a","51","FUELS AND STOVES USED FOR COOKING","1509714","Translate from English to French: Other specify","Single Line"
"D7","52","FUELS AND STOVES USED FOR COOKING","1509664","Translate from English to French: Do you use different fuels in the wet and dry seasons?","Select One"
"D7a","53","FUELS AND STOVES USED FOR COOKING","1509665","Translate from English to French: If yes, give details","Free Text"
"Injury infliction","54","FUELS AND STOVES USED FOR COOKING","1395028","Translate from English to French: In the past 12 months, did any harm or injury happen from using this cookstove, device or fuel?","Select One"
"D8-1","55","FUELS AND STOVES USED FOR COOKING","1509715","Translate from English to French: If yes, please indicate nature of injury","Select One"
"8-1a","56","FUELS AND STOVES USED FOR COOKING","1509716","Translate from English to French: Other, specify","Single Line"
"D8-2","57","FUELS AND STOVES USED FOR COOKING","1509666","Translate from English to French: What stove/ fuel was involved (please specify)?","Single Line"
"D9","58","FUELS AND STOVES USED FOR COOKING","1509667","Translate from English to French: On a typical weekday (e.g. Monday  Friday), please estimate how much time you spend cooking with (i) your main/ primary stove/fuel and (ii) your second most common stove/fuel? 

Please estimate for both","Time"
"D9a","59","FUELS AND STOVES USED FOR COOKING","1509828","Translate from English to French: Secondary Fuel","Time"
"D10","60","FUELS AND STOVES USED FOR COOKING","1509668","Translate from English to French: On a typical weekend day (e.g Saturday and Sunday), please estimate how much time you spend cooking with (i) your main/ primary stove/ fuel and (ii) your second most common stove/fuel? 
Please estimate for both","Time"
"D10a","61","FUELS AND STOVES USED FOR COOKING","1509829","Translate from English to French: Secondary Fuel","Time"
"D11","62","FUELS AND STOVES USED FOR COOKING","1509669","Translate from English to French: Over the last week (7 days) please estimate the number of times you cooked with your main/ primary stove/fuel.","Integer"
"D11-1","63","FUELS AND STOVES USED FOR COOKING","1509670","Translate from English to French: If applicable, over the last week (7 days) please estimate the number of times you cooked with your second most common stove/fuel","Integer"
"Free fuel","64","FUELS AND STOVES USED FOR COOKING","1395030","Translate from English to French: Do you obtain any cooking fuel for free?","Select One"
"Costs","65","FUELS AND STOVES USED FOR COOKING","1395033","Translate from English to French: If yes, what are these fuels (please identify all of them","Select Many"
"D12-2","66","FUELS AND STOVES USED FOR COOKING","1509671","Translate from English to French: Who usually goes to collect these fuel(s)?  please provide details for people in your household who usually collect the fuels?","Single Line"
"D12-3","67","FUELS AND STOVES USED FOR COOKING","1509672","Translate from English to French: If respondent selects wood in question D12.1: Do you ever collect wood from trees you have planted in your back yard?","Select One"
"D12-4","68","FUELS AND STOVES USED FOR COOKING","1509673","Translate from English to French: On an average trip, how long does it take to go to collect the fuel, get the fuel and return home?","Time"
"D12-5","69","FUELS AND STOVES USED FOR COOKING","1509674","Translate from English to French: In a typical month, on how many occasions would these fuels be collected?","Integer"
"D12-6","70","FUELS AND STOVES USED FOR COOKING","1509675","Translate from English to French: In the past year, did any person from your household experience an injury while collecting or transporting fuel?","Select One"
"D12-6a","71","FUELS AND STOVES USED FOR COOKING","1509676","Translate from English to French: If yes, give details","Single Line"
"Cost of fuel","72","FUELS AND STOVES USED FOR COOKING","1395032","Translate from English to French: Is the cooking usually done in the house, in a separate building, or outdoors?","Select One"
"Fuel sources","73","FUELS AND STOVES USED FOR COOKING","1395031","Translate from English to French: If yes, what are these fuels (please identify all of them)","Select Many"
"D13-2","74","FUELS AND STOVES USED FOR COOKING","1509677","Translate from English to French: What method do you normally use to purchase wood?","Select One"
"D13-2a","75","FUELS AND STOVES USED FOR COOKING","1509678","Translate from English to French: Other, specify","Single Line"
"D13-3","76","FUELS AND STOVES USED FOR COOKING","1509679","Translate from English to French: Do you always purchase a permit to enter the same forested area to gather wood?","Select One"
"D13-3a","77","FUELS AND STOVES USED FOR COOKING","1509680","Translate from English to French: Other, specify","Single Line"
"D13-4","78","FUELS AND STOVES USED FOR COOKING","1509681","Translate from English to French: How frequently do you purchase the permit to enter the forest?","Select One"
"13-4a","79","FUELS AND STOVES USED FOR COOKING","1509682","Translate from English to French: Other, specify","Single Line"
"D13-5","80","FUELS AND STOVES USED FOR COOKING","1509683","Translate from English to French: Approximately how much do you usually spend on the permit to enter to the forested area?","Integer"
"D13-6","81","FUELS AND STOVES USED FOR COOKING","1509684","Translate from English to French: How frequently do you buy [list all fuels mentioned in D13.1]?","Select One"
"D13-6a","82","FUELS AND STOVES USED FOR COOKING","1509685","Translate from English to French: Other,specify","Single Line"
"D13-7","83","FUELS AND STOVES USED FOR COOKING","1509686","Translate from English to French: Approximately how much do you spend on fuel [list all fuels mentioned in D13.1] each time you buy it?","Free Text"
"D13-8","84","FUELS AND STOVES USED FOR COOKING","1509687","Translate from English to French: How long does this amount of fuel last (specify in number of meals or number of days)?","Free Text"
"D13-9","85","FUELS AND STOVES USED FOR COOKING","1509688","Translate from English to French: Approximately how much is your total monthly expenditure on cooking fuels?","Single Line"
"Cooking location","86","FUELS AND STOVES USED FOR COOKING","1395034","Translate from English to French: Is the cooking usually done in the house, in a separate building, or outdoors?

(If in main house, probe to determine if cooking is done in a separate room. 
If outdoors, probe to determine if cooking is done on veranda, covered porch, or open air.)","Select One"
"Outside Cooking","87","FUELS AND STOVES USED FOR COOKING","1395035","Translate from English to French: If cooking outside the home, is this in a shared kitchen with other households?","Select One"
"Use of heaters","88","FUELS AND DEVICES USED FOR HEATING AND LIGHTING ","1395036","Translate from English to French: Does this household use any heating device or fire to keep the dwelling/living quarters warm at any time during the year?","Select One"
"Frequency of use of heaters","89","FUELS AND DEVICES USED FOR HEATING AND LIGHTING ","1395037","Translate from English to French: In the last 12 months, during how many months did you use a heating device or fire to keep the dwelling/living quarters warm?","Integer"
"Mode of heating","90","FUELS AND DEVICES USED FOR HEATING AND LIGHTING ","1395038","Translate from English to French: What does this household use to heat the home when needed? For example, do you use a space heater(s), or use your cookstove in the winter for warmth? Please tell me the heater, cookstove or heat system used for the most time.","Select One"
"E4","91","FUELS AND DEVICES USED FOR HEATING AND LIGHTING ","1509705","Translate from English to French: What other fuels are used when you heat your home (please describe all)","Single Line"
"E5","92","FUELS AND DEVICES USED FOR HEATING AND LIGHTING ","1509706","Translate from English to French: In the past 12 months, did any harm or injury happen to anyone from your household from heating your home?","Select One"
"E5a","93","FUELS AND DEVICES USED FOR HEATING AND LIGHTING ","1509707","Translate from English to French: If yes, please give details","Single Line"
"Lighting energy source","94","FUELS AND DEVICES USED FOR HEATING AND LIGHTING ","1395039","Translate from English to French: What does this household use most of the time as energy for lighting, or as a light source? Please tell me the light source used for the most time each day","Select One"
"E6a","95","FUELS AND DEVICES USED FOR HEATING AND LIGHTING ","1509778","Translate from English to French: Other, specify","Single Line"
"E7","96","FUELS AND DEVICES USED FOR HEATING AND LIGHTING ","1509708","Translate from English to French: In the past 12 months, did any harm or injury happen to anyone from your household from lighting your home?","Select One"
"E7a","97","FUELS AND DEVICES USED FOR HEATING AND LIGHTING ","1509709","Translate from English to French: If yes, please give details","Single Line"
"E8-1","98","FUELS AND DEVICES USED FOR HEATING AND LIGHTING ","1510236","Translate from English to French: What else does this household use as energy for lighting, or as a light source? (Select all that respondent mentions)","Select Many"
"E8-1a","99","FUELS AND DEVICES USED FOR HEATING AND LIGHTING ","1510237","Translate from English to French: Other, specify","Single Line"
"F0","100","LPG PREFERENCES","1510106","Translate from English to French: Do you use cooking gas?","Select One"
"F1","101","LPG PREFERENCES","1509697","Translate from English to French: Thinking about the speed of cooking, would you say cooking gas/ LPG is:","Select One"
"F2","102","LPG PREFERENCES","1509698","Translate from English to French: Thinking about the ability to cook most dishes, would you say cooking gas/ LPG is:","Select One"
"F3","103","LPG PREFERENCES","1509699","Translate from English to French: Thinking about cleanliness (e.g. level of soot from the smoke), would you say cooking gas/ LPG is:","Select One"
"F4","104","LPG PREFERENCES","1509700","Translate from English to French: Thinking about ease of replacing a cylinder (e.g. transporting to/ from shop), would you say cooking gas/ LPG is:","Select One"
"F5","105","LPG PREFERENCES","1509701","Translate from English to French: Thinking about the affordability of refills, would you say cooking gas/ LPG is:","Select One"
"F6","106","LPG PREFERENCES","1509702","Translate from English to French: Thinking about availability, would you say cooking gas/ LPG is:","Select One"
"F7","107","LPG PREFERENCES","1509703","Translate from English to French: Thinking about safety (e.g. fire or explosions), would you say cooking gas/ LPG is:","Select One"
"F7-1","108","LPG PREFERENCES","1509704","Translate from English to French: Is your perception on safety based on your direct experience or have you heard it from others?","Select One"
"F7-1a","109","LPG PREFERENCES","1510238","Translate from English to French: Other, specify","Single Line"
"SF-A1","110","LPG PREFERENCES","1509785","Translate from English to French: In general, would you say your health is:","Select One"
"SF-A2","111","LPG PREFERENCES","1509786","Translate from English to French: Compared to one year ago, how would you rate your health in general now?","Select One"
"Vigorous activities","112","PHYSICAL ROLE FUNCTIONING","1412282","Vigorous activities, such as running, lifting heavy objects, participating in strenuous sports","Select One"
"Moderate activities","113","PHYSICAL ROLE FUNCTIONING","1412283","Moderate activities, such as moving a table, cleaning your home","Select One"
"Lifiting","114","PHYSICAL ROLE FUNCTIONING","1412284","Lifting or carrying groceries","Select One"
"One fligt of stairs","115","PHYSICAL ROLE FUNCTIONING","1412285","Climbing several flights of stairs","Select One"
"Several flights of stairs","116","PHYSICAL ROLE FUNCTIONING","1412286","Climbing several flights of stairs","Select One"
"Bending","117","PHYSICAL ROLE FUNCTIONING","1412287","Bending, kneeling, or stooping","Select One"
"Walking","118","PHYSICAL ROLE FUNCTIONING","1412288","Walking more than one kilometer","Select One"
"Walking several blocks","119","PHYSICAL ROLE FUNCTIONING","1412289","Walking several blocks","Select One"
"Walking one block","120","PHYSICAL ROLE FUNCTIONING","1412290","Walking one block","Select One"
"Bathing","121","PHYSICAL ROLE FUNCTIONING","1412291","Bathing or dressing yourself","Select One"
"SF-C1A","122","PHYSICAL ROLE FUNCTIONING","1509789","Translate from English to French: Cut down the amount of time you spent on work or other activities","Select One"
"SF-C2","123","PHYSICAL ROLE FUNCTIONING","1509790","Translate from English to French: Accomplished less than you would like","Select One"
"SF-C3","124","PHYSICAL ROLE FUNCTIONING","1509791","Translate from English to French: Were limited in the kind of work or other activities","Select One"
"SF-C4","125","PHYSICAL ROLE FUNCTIONING","1509793","Translate from English to French: Had difficulty performing the work or other activities (for example, it took extra effort)","Select One"
"Reduce work time","126","EMOTIONAL ROLE FUNCTIONING ","1412293","Cut down the amount of time you spent on work or other activities","Select One"
"Accomplished less than you would like","127","EMOTIONAL ROLE FUNCTIONING ","1412294","Accomplished less than you would like","Select One"
"SF-D3","128","EMOTIONAL ROLE FUNCTIONING ","1508759","Didn't do work or other activities as carefully as usual","Select One"
"SF-E1","129","BODILY PAIN","1508760","During the past 4 weeks, to what extent has your physical health or emotional problems interfered with your normal social activities with family, friends, neighbors, or groups?","Select One"
"SF-E2","130","BODILY PAIN","1508761","How much bodily pain have you had during the past 4 weeks?","Select One"
"SF-E3","131","BODILY PAIN","1508762","During the past 4 weeks, how much did pain interfere with your normal work (including both work outside the home and housework)?","Select One"
"SF-F1","132","MENTAL HEALTH ","1508764","Did you feel full of pep ?","Select One"
"SF-F2","133","MENTAL HEALTH ","1508765","Have you been a very nervous person?","Select One"
"SF-F3","134","MENTAL HEALTH ","1508766","Have you felt so down in the dumps that nothing could cheer you up?","Select One"
"SF-F4","135","MENTAL HEALTH ","1508767","Have you felt calm and peaceful?","Select One"
"SF-F5","136","MENTAL HEALTH ","1508768","Did you have a lot of energy?","Select One"
"SF-F6","137","MENTAL HEALTH ","1508769","Have you felt downhearted and blue?","Select One"
"SF-F7","138","MENTAL HEALTH ","1508770","Did you feel worn out?","Select One"
"SF-F8","139","MENTAL HEALTH ","1508771","Have you been a happy person?","Select One"
"SF-F9","140","MENTAL HEALTH ","1508772","Did you feel tired?","Select One"
"SF-G1","141","SOCIAL ROLE FUNCTIONING","1508773","During the past 4 weeks, how much of the time has your physical health or emotional problems interfered with your social activities (like visiting with friends, relatives, etc.)?","Select One"
"SF-H1","142","GENERAL HEALTH PERCEPTIONS ","1508775","Translate from English to French: I seem to get sick a little easier than other people.","Select One"
"SF-H2","143","GENERAL HEALTH PERCEPTIONS ","1508776","Translate from English to French: I am as healthy as anybody I know.","Select One"
"SF-H3","144","GENERAL HEALTH PERCEPTIONS ","1508777","Translate from English to French: I expect my health to get worse.","Select One"
"SF-H4","145","GENERAL HEALTH PERCEPTIONS ","1508778","Translate from English to French: My health is excellent.","Select One"
"G1-1","146","HEALTH OF WOMEN AND CHILDREN ","1508780","Translate from English to French: Have you, at any time in the last 12 months, had wheezing or whistling in your chest?","Select One"
"G1-2","147","HEALTH OF WOMEN AND CHILDREN ","1508781","Translate from English to French: Have you, at any time in the last 12 months, woken up with a feeling of tightness in your chest first thing in the morning?","Select One"
"G2-1","148","Shortness of breath","1508782","Translate from English to French: Have you, at any time in the last 12 months, had an attack of shortness of breath that came on during the day when you were not doing anything strenuous?","Select One"
"G2-2","149","Shortness of breath","1508783","Translate from English to French: Have you, at any time in the last 12 months, had an attack of shortness of breath that came on after you had stopped doing something strenuous?","Select One"
"G2-3","150","Shortness of breath","1508784","Translate from English to French: Have you, at any time in the last 12 months, been woken at night by an attack of shortness of breath?","Select One"
"G3-1","151","Cough and phlegm from the chest","1508785","Translate from English to French: Have you, at any time in the last 12 months, been woken at night by an attack of coughing?","Select One"
"G3-2","152","Cough and phlegm from the chest","1508786","Translate from English to French: Do you usually cough first thing in the morning?","Select One"
"G3-3","153","Cough and phlegm from the chest","1508787","Translate from English to French: Do you have a cough like this most mornings for as much as 3 months per year?","Select One"
"G3-4","154","Cough and phlegm from the chest","1508788","Translate from English to French: How many years have you had this cough?","Integer"
"G3-5","155","Cough and phlegm from the chest","1508789","Translate from English to French: Do you usually cough up phlegm from your chest first thing in the morning?","Select One"
"G3-6","156","Cough and phlegm from the chest","1508790","Translate from English to French: Do you have phlegm like this most mornings for as much as 3 months per year?","Select One"
"G3-7","157","Cough and phlegm from the chest","1508791","Translate from English to French: How many years have you had this phlegm?","Integer"
"G4","158","Breathing","1508792","Translate from English to French: Which of the following statements do you feel describes you best:","Select One"
"G5-1","159","Other illnesses","1508793","Translate from English to French: Have you ever been told by a doctor that you have Tuberculosis?","Select One"
"G5-2","160","Other illnesses","1508794","Translate from English to French: If yes, when?","Date"
"G5-3","161","Other illnesses","1508795","Translate from English to French: Have you ever been told by a doctor that you have Chronic bronchitis?","Select One"
"G5-4","162","Other illnesses","1508796","Translate from English to French: If yes, when?","Date"
"G5-5","163","Other illnesses","1508797","Translate from English to French: Have you ever been told by a doctor that you have Heart disease?","Select One"
"G5-6","164","Other illnesses","1508798","Translate from English to French: If yes, when?","Date"
"G5-7","165","Other illnesses","1508799","Translate from English to French: Have you ever been told by a doctor that you have any other disease?","Select One"
"G5-8","166","Other illnesses","1508800","Translate from English to French: Which disease?","Single Line"
"G5-9","167","Other illnesses","1508801","Translate from English to French: When?","Date"
"G6-1","168","Headaches","1508802","Translate from English to French: Over the last 12 months, have you experienced headaches?","Select One"
"G6-2","169","Headaches","1508803","Translate from English to French: If Yes, how often do you have headaches?","Select One"
"G6-3","170","Headaches","1508804","Translate from English to French: How strong are the headaches usually?","Select One"
"G6-4","171","Headaches","1508805","Translate from English to French: What do you think usually causes these headaches?  (Do not read options)","Select One"
"G6-5","172","Headaches","1508806","Translate from English to French: Other, specify","Single Line"
"G7-1","173","Eye irritation ","1508807","Translate from English to French: Over the last 12 months, have you experienced eye irritation when cooking?","Select One"
"G7-2","174","Eye irritation ","1508808","Translate from English to French: If Yes, how often?","Select One"
"G7-3","175","Eye irritation ","1508809","Translate from English to French: How bad is the eye irritation?","Select One"
"G8-1","176","Burns – Primary cook","1508810","Translate from English to French: Have you suffered any burns or scalds in the last 12 months?","Select One"
"G8-2","177","Burns – Primary cook","1508811","Translate from English to French: How many times in the last 12 months?","Integer"
"G8-3","178","Burns – Primary cook","1508812","Translate from English to French: For the most severe occasion in the last year, how severe was this burn/scald?","Select One"
"G8-4","179","Burns – Primary cook","1508813","Translate from English to French: Where did this burn or scald occur?","Select One"
"G8-5","180","Burns – Primary cook","1508814","Translate from English to French: Elsewhere, specify","Single Line"
"G8-6","181","Burns – Primary cook","1508815","Translate from English to French: What was the cause of the burn/scald?","Select One"
"G8-6a","182","Burns – Primary cook","1509794","Translate from English to French: Other specify","Single Line"
"G8-7","183","Burns – Primary cook","1508816","Translate from English to French: What was the source of flames?","Select One"
"G8-7a","184","Burns – Primary cook","1509795","Translate from English to French: Other, specify","Single Line"
"G8-8","185","Burns – Primary cook","1508817","Translate from English to French: What caused the scald?","Select One"
"G8-8a","186","Burns – Primary cook","1509796","Translate from English to French: Other specify","Single Line"
"G8-9","187","Burns – Primary cook","1508818","Translate from English to French: What was the hot object that caused the burn?","Select One"
"G8-9a","188","Burns – Primary cook","1509797","Translate from English to French: Other, specify","Single Line"
"G9-1","189","Burns – Children","1508819","Translate from English to French: Have any of your children suffered any burns or scalds in the last 12 months?","Select One"
"G9-2","190","Burns – Children","1508820","Translate from English to French: How many of your children  have suffered any burns of scalds in the last 12 months?","Select One"
"G9-3","191","Burns – Children","1508821","Translate from English to French: What age was the child/ children at the time the burn or scald occurred? [Repeat question in Mobenzi/RedCap for as many children as reported in G9.2]","Free Text"
"G9-3a","192","Burns – Children","1508822","Translate from English to French: How many times has this child suffered any burns or scalds in the last 12 months?","Free Text"
"G9-3b","193","Burns – Children","1508823","Translate from English to French: What is the level of education of your injured child/children? [Repeat question in Mobenzi/RedCap for as many children as reported in G9.2]","Select One"
"G9-4","194","Burns – Children","1508824","Translate from English to French: For the most severe occasion in the last year that happened to one of your children, how severe was this burn?","Select One"
"G9-5","195","Burns – Children","1508825","Translate from English to French: Where did this burn or scald occur?","Select One"
"G9-5a","196","Burns – Children","1508826","Translate from English to French: Elsewhere, specify","Single Line"
"G9-6","197","Burns – Children","1508827","Translate from English to French: What was the cause of the burn/scald?","Select One"
"G9-6a","198","Burns – Children","1508828","Translate from English to French: Other, specify","Single Line"
"G9-7","199","Burns – Children","1508829","Translate from English to French: What was the source of flames?","Select One"
"G9-7a","200","Burns – Children","1509798","Translate from English to French: Other, specify","Single Line"
"G9-8","201","Burns – Children","1508830","Translate from English to French: What caused  the scald?","Select One"
"G9-8a","202","Burns – Children","1508831","Translate from English to French: Other, specify","Single Line"
"G9-9","203","Burns – Children","1508832","Translate from English to French: What was the hot object that caused the burn?","Select One"
"G9-9a","204","Burns – Children","1508833","Translate from English to French: Other, specify","Single Line"
"G9-10","205","Burns – Children","1508834","Translate from English to French: How concerned/worried are you about the possibility of one of your children being burned or scalded in your kitchen?","Select One"
"G9-11","206","Burns – Children","1508835","Translate from English to French: Please explain why you are concerned or anxious about this?","Single Line"
"G10-1","207","Tobacco Smoking","1508836","Translate from English to French: Do you smoke cigarettes, or have you ever smoked cigarettes for one year or more?","Select One"
"G10-2","208","Tobacco Smoking","1508837","Translate from English to French: Have you:","Select One"
"G10-3","209","Tobacco Smoking","1508838","Translate from English to French: How many cigarettes do (did) you smoke each day, on average?","Integer"
"G10-4","210","Tobacco Smoking","1508839","Translate from English to French: Does anyone else in your household smoke cigarettes?","Select One"
"G10-5","211","Tobacco Smoking","1508840","Translate from English to French: If Yes, do they smoke in the house, or only outside the house?","Select One"
"G10-6","212","Tobacco Smoking","1508841","Translate from English to French: How many people smoke cigarettes inside the house?","Integer"
"G10-7","213","Tobacco Smoking","1508842","Translate from English to French: About how many cigarettes in total are smoked each day in your house by other people?","Integer"
"G11-1","214","Blood pressure ","1508989","Translate from English to French: Have you ever had your blood pressure measured by a doctor or other health worker over the past 12 months?","Select One"
"G11-2","215","Blood pressure ","1508990","Translate from English to French: Have your ever been told by a doctor or other health worker that you have raised blood pressure or hypertension?","Select One"
"G11-3a","216","Blood pressure ","1508992","Translate from English to French: Drugs (medication that you have taken in the past two weeks","Select One"
"G11-3b","217","Blood pressure ","1508993","Translate from English to French: Advice to reduce salt intake","Select One"
"G11-3c","218","Blood pressure ","1508994","Translate from English to French: Advice or treatment to loose weight","Select One"
"G11-3d","219","Blood pressure ","1508995","Translate from English to French: Advice or treatment to stop smoking","Select One"
"G11-3e","220","Blood pressure ","1508996","Translate from English to French: Advice to start or do more exercise","Select One"
"G11-3f","221","Blood pressure ","1508997","Translate from English to French: Advice to stop alcohol consumption","Select One"
"G11-4","222","Blood pressure ","1508998","Translate from English to French: Have you ever seen a traditional healer for raised blood pressure or hypertension?","Select One"
"G11-5","223","Blood pressure ","1508999","Translate from English to French: Are you currently taking any herbal or traditional remedy for your raised blood pressure?","Select One"
"G11-6","224","Blood pressure ","1509000","Translate from English to French: Has any of your relatives been told by a doctor or other health worker that he/she has raised blood pressure?","Select One"
"BP1-1","225","Blood pressure ","1509001","Translate from English to French: Blood Pressure Systolic Reading 1","Integer"
"BP1-2","226","Blood pressure ","1509002","Translate from English to French: Blood Pressure Diastolic Reading 1","Integer"
