"Question","Variable","Value","Label"
"Head of household Occupation","Head of household Occupation_Translate to French: Has own business (businessman, owns a shop, trader etc.)","0","N - Translate to French: Has own business (businessman, owns a shop, trader etc.)"
"Head of household Occupation","Head of household Occupation_Translate to French: Craftsperson (tailor, carpenter, seamstress etc.)","1","Y - Translate to French: Craftsperson (tailor, carpenter, seamstress etc.)"
"Head of household Occupation","Head of household Occupation_Translate to French: Craftsperson (tailor, carpenter, seamstress etc.)","0","N - Translate to French: Craftsperson (tailor, carpenter, seamstress etc.)"
"Head of household Occupation","Head of household Occupation_Translate to French: Run the household / Care for family","1","Y - Translate to French: Run the household / Care for family"
"Head of household Occupation","Head of household Occupation_Translate to French: Run the household / Care for family","0","N - Translate to French: Run the household / Care for family"
"Head of household Occupation","Head of household Occupation_Translate to French: Retired","1","Y - Translate to French: Retired"
"Head of household Occupation","Head of household Occupation_Translate to French: Retired","0","N - Translate to French: Retired"
"Head of household Occupation","Head of household Occupation_Translate to French: Other type of job specify","1","Y - Translate to French: Other type of job specify"
"Head of household Occupation","Head of household Occupation_Translate to French: Other type of job specify","0","N - Translate to French: Other type of job specify"
"Head of household Occupation","Head of household Occupation_Translate to French: Currently unemployed / nothing","1","Y - Translate to French: Currently unemployed / nothing"
"Head of household Occupation","Head of household Occupation_Translate to French: Currently unemployed / nothing","0","N - Translate to French: Currently unemployed / nothing"
"Main occupation","Main occupation","1","Translate to French: Farms own land (whether that land is owned or rented)"
"Main occupation","Main occupation","2","Translate to French: Day labourer (farming another person’s land, builder, daily worker etc.)"
"Main occupation","Main occupation","3","Translate to French: Government employee (doctor, nurse, police, teacher etc.)"
"Main occupation","Main occupation","4","Translate to French: Employee in a business (Factory/industrial worker, works in a shop, receptionist, security guard, etc.)"
"Main occupation","Main occupation","5","Translate to French: Has own business (businessman, owns a shop, trader etc.)"
"Main occupation","Main occupation","6","Translate to French: Craftsperson (tailor, carpenter, seamstress etc.)"
"Main occupation","Main occupation","7","Translate to French: Run the household / care for family"
"Main occupation","Main occupation","8","Translate to French: Retired"
"Main occupation","Main occupation","9","Translate to French: Other type of job:"
"Main occupation","Main occupation","10","Translate to French: Currently unemployed / nothing"
"Other modes of payment","Other modes of payment","1","Translate to French: Cash only"
"Other modes of payment","Other modes of payment","2","Translate to French: Kind only"
"Other modes of payment","Other modes of payment","3","Translate to French: Cash and kind"
"Other modes of payment","Other modes of payment","4","Translate to French: Not paid"
"Household income","Household income","1","Translate to French: Less than/equal to 5,000 Ksh"
"Household income","Household income","2","Translate to French: 5,001 – 15,000"
"Household income","Household income","3","Translate to French: 15,001 – 25,000"
"Household income","Household income","4","Translate to French: 25,001 – 35,000"
"Household income","Household income","5","Translate to French: 35,001 – 50,000"
"Household income","Household income","6","Translate to French: Greater than 50,000"
"Household income","Household income","7","Translate to French: Don’t know"
"Household income","Household income","8","Translate to French: Won’t answer"
"Income stability","Income stability","1","Translate to French: Yes"
"Income stability","Income stability","0","Translate to French: No"
"Highest paid months","Highest paid months_Translate to French: January","1","Y - Translate to French: January"
"Highest paid months","Highest paid months_Translate to French: January","0","N - Translate to French: January"
"Highest paid months","Highest paid months_Translate to French: February","1","Y - Translate to French: February"
"Highest paid months","Highest paid months_Translate to French: February","0","N - Translate to French: February"
"Highest paid months","Highest paid months_Translate to French: March","1","Y - Translate to French: March"
"Highest paid months","Highest paid months_Translate to French: March","0","N - Translate to French: March"
"Highest paid months","Highest paid months_Translate to French: April","1","Y - Translate to French: April"
"Highest paid months","Highest paid months_Translate to French: April","0","N - Translate to French: April"
"Highest paid months","Highest paid months_Translate to French: May","1","Y - Translate to French: May"
"Highest paid months","Highest paid months_Translate to French: May","0","N - Translate to French: May"
"Highest paid months","Highest paid months_Translate to French: June","1","Y - Translate to French: June"
"Highest paid months","Highest paid months_Translate to French: June","0","N - Translate to French: June"
"Highest paid months","Highest paid months_Translate to French: July","1","Y - Translate to French: July"
"Highest paid months","Highest paid months_Translate to French: July","0","N - Translate to French: July"
"Highest paid months","Highest paid months_Translate to French: August","1","Y - Translate to French: August"
"Highest paid months","Highest paid months_Translate to French: August","0","N - Translate to French: August"
"Highest paid months","Highest paid months_Translate to French: September","1","Y - Translate to French: September"
"Highest paid months","Highest paid months_Translate to French: September","0","N - Translate to French: September"
"Highest paid months","Highest paid months_Translate to French: October","1","Y - Translate to French: October"
"Highest paid months","Highest paid months_Translate to French: October","0","N - Translate to French: October"
"Highest paid months","Highest paid months_Translate to French: November","1","Y - Translate to French: November"
"Highest paid months","Highest paid months_Translate to French: November","0","N - Translate to French: November"
"Highest paid months","Highest paid months_Translate to French: December","1","Y - Translate to French: December"
"Highest paid months","Highest paid months_Translate to French: December","0","N - Translate to French: December"
"Does the income suffice","Does the income suffice","1","Translate to French: Enough to buy everything needed"
"Does the income suffice","Does the income suffice","2","Translate to French: Not quite enough"
"Does the income suffice","Does the income suffice","3","Translate to French: Definitely not enough"
"Access to drinking water","Access to drinking water","Yes","Translate to French: Yes"
"Access to drinking water","Access to drinking water","No","Translate to French: No"
"Main water source","Main water source","1","Translate to French: Pipe in home"
"Main water source","Main water source","2","Translate to French: Pump (deep well)"
"Main water source","Main water source","3","Translate to French: Well (pit with bucket)"
"Main water source","Main water source","4","Translate to French: Communal standpipe"
"Main water source","Main water source","5","Translate to French: Collect from river"
"Main water source","Main water source","6","Translate to French: Other"
"Access to flush toilet","Access to flush toilet","Yes","Translate to French: Yes"
"Access to flush toilet","Access to flush toilet","No","Translate to French: No"
"Access to yard latrine","Access to yard latrine","Yes","Translate to French: Yes"
"Access to yard latrine","Access to yard latrine","No","Translate to French: No"
"D1","D1","1","Translate to French: Yes"
"D1","D1","0","Translate to French: No"
"D2","D2_Translate to French: Neighbour","1","Y - Translate to French: Neighbour"
"D2","D2_Translate to French: Neighbour","0","N - Translate to French: Neighbour"
"D2","D2_Translate to French: Relative","1","Y - Translate to French: Relative"
"D2","D2_Translate to French: Relative","0","N - Translate to French: Relative"
"D2","D2_Translate to French: Other","1","Y - Translate to French: Other"
"D2","D2_Translate to French: Other","0","N - Translate to French: Other"
"D3","D3","1","Translate to French: 1. Electric stove"
"D3","D3","2","Translate to French: 2. Kerosene stove"
"D3","D3","3","Translate to French: 3. Cooking gas/LPG stove"
"D3","D3","4","Translate to French: 4 Traditional solid fuel stove (non-manufactured)"
"D3","D3","5","Translate to French: 5. Manufactured solid fuel stove"
"D3","D3","6","Translate to French: 6. Three stone stove/open fire"
"D3","D3","7","Translate to French: 9. Other, specify"
"D2-2","D2-2","1","Translate to French: Yes"
"D2-2","D2-2","0","Translate to French: N0"
"Presence of fan","Presence of fan","1","Translate to French: Yes"
"Presence of fan","Presence of fan","0","Translate to French: No"
"Most frequently used fuel","Most frequently used fuel","1","Translate to French: Charcoal unprocessed"
"Most frequently used fuel","Most frequently used fuel","11","Translate to French: LPG"
"Most frequently used fuel","Most frequently used fuel","2","Translate to French: Charcoal briquettes/pellets"
"Most frequently used fuel","Most frequently used fuel","3","Translate to French: Wood"
"Most frequently used fuel","Most frequently used fuel","4","Translate to French: Agricultural or crop residue/grass/straw/shrubs/corn cobs"
"Most frequently used fuel","Most frequently used fuel","5","Translate to French: Animal waste/dung"
"Most frequently used fuel","Most frequently used fuel","6","Translate to French: Processed biomass pellets/briquettes"
"Most frequently used fuel","Most frequently used fuel","7","Translate to French: Woodchips"
"Most frequently used fuel","Most frequently used fuel","8","Translate to French: Garbage/plastic"
"Most frequently used fuel","Most frequently used fuel","9","Translate to French: Sawdust"
"Most frequently used fuel","Most frequently used fuel","10","Translate to French: Other, specify"
"Availability of fuel","Availability of fuel","1","Translate to French: Often (more than once a month)"
"Availability of fuel","Availability of fuel","2","Translate to French: Sometimes (4-12 times a year)"
"Availability of fuel","Availability of fuel","3","Translate to French: Rarely (less than 4 times a year)"
"Availability of fuel","Availability of fuel","4","Translate to French: Never (always available)"
"Availability of fuel","Availability of fuel","5","Translate to French: Don’t know / Unsure"
"D5","D5","1","Translate to French: No other stove is used"
"D5","D5","2","Translate to French: Electric stove"
"D5","D5","3","Translate to French: Kerosene stove"
"D5","D5","4","Translate to French: Cooking gas/ LPG stove"
"D5","D5","5","Translate to French: Traditional solid fuel stove (non-manufactured)"
"D5","D5","6","Translate to French: Manufactured solid fuel stove"
"D5","D5","7","Translate to French: Three stone stove/open fire"
"D5","D5","8","Translate to French: Other, specify"
"Other fuels used","Other fuels used_Translate to French: Electricity","1","Y - Translate to French: Electricity"
"Other fuels used","Other fuels used_Translate to French: Electricity","0","N - Translate to French: Electricity"
"Other fuels used","Other fuels used_Translate to French: Kerosene","1","Y - Translate to French: Kerosene"
"Other fuels used","Other fuels used_Translate to French: Kerosene","0","N - Translate to French: Kerosene"
"Other fuels used","Other fuels used_Translate to French: Cooking gas/LPG","1","Y - Translate to French: Cooking gas/LPG"
"Other fuels used","Other fuels used_Translate to French: Cooking gas/LPG","0","N - Translate to French: Cooking gas/LPG"
"Other fuels used","Other fuels used_Translate to French: Charcoal unprocessed","1","Y - Translate to French: Charcoal unprocessed"
"Other fuels used","Other fuels used_Translate to French: Charcoal unprocessed","0","N - Translate to French: Charcoal unprocessed"
"Other fuels used","Other fuels used_Translate to French: Charcoal briquettes/pellets","1","Y - Translate to French: Charcoal briquettes/pellets"
"Other fuels used","Other fuels used_Translate to French: Charcoal briquettes/pellets","0","N - Translate to French: Charcoal briquettes/pellets"
"Other fuels used","Other fuels used_Translate to French: Wood","1","Y - Translate to French: Wood"
"Other fuels used","Other fuels used_Translate to French: Wood","0","N - Translate to French: Wood"
"Other fuels used","Other fuels used_Translate to French: Agricultural or crop residue/grass/straw/shrubs/corn cobs","1","Y - Translate to French: Agricultural or crop residue/grass/straw/shrubs/corn cobs"
"Other fuels used","Other fuels used_Translate to French: Agricultural or crop residue/grass/straw/shrubs/corn cobs","0","N - Translate to French: Agricultural or crop residue/grass/straw/shrubs/corn cobs"
"Other fuels used","Other fuels used_Translate to French: Processed biomass pellets/briquettes","1","Y - Translate to French: Processed biomass pellets/briquettes"
"Other fuels used","Other fuels used_Translate to French: Processed biomass pellets/briquettes","0","N - Translate to French: Processed biomass pellets/briquettes"
"Other fuels used","Other fuels used_Translate to French: Woodchips","1","Y - Translate to French: Woodchips"
"Other fuels used","Other fuels used_Translate to French: Woodchips","0","N - Translate to French: Woodchips"
"Other fuels used","Other fuels used_Translate to French: Sawdust","1","Y - Translate to French: Sawdust"
"Other fuels used","Other fuels used_Translate to French: Sawdust","0","N - Translate to French: Sawdust"
"Other fuels used","Other fuels used_Translate to French: Animal waste/dung","1","Y - Translate to French: Animal waste/dung"
"Other fuels used","Other fuels used_Translate to French: Animal waste/dung","0","N - Translate to French: Animal waste/dung"
"Other fuels used","Other fuels used_Translate to French: Garbage/plastic","1","Y - Translate to French: Garbage/plastic"
"Other fuels used","Other fuels used_Translate to French: Garbage/plastic","0","N - Translate to French: Garbage/plastic"
"Main alternative fuel","Main alternative fuel","1","Translate to French: 1. Electricity"
"Main alternative fuel","Main alternative fuel","2","Translate to French: 2. Kerosene"
"Main alternative fuel","Main alternative fuel","3","Translate to French: 3. Cooking gas/LPG"
"Main alternative fuel","Main alternative fuel","4","Translate to French: 4. Charcoal unprocessed"
"Main alternative fuel","Main alternative fuel","5","Translate to French: 5. Charcoal briquettes/pellets"
"Main alternative fuel","Main alternative fuel","6","Translate to French: 6. Wood"
"Main alternative fuel","Main alternative fuel","7","Translate to French: 7. Agricultural or crop residue/grass/"
"Main alternative fuel","Main alternative fuel","8","Translate to French: straw/shrubs/corn cobs"
"Main alternative fuel","Main alternative fuel","9","Translate to French: 8. Processed biomass pellets/briquettes"
"Main alternative fuel","Main alternative fuel","10","Translate to French: 9. Woodchips"
"Main alternative fuel","Main alternative fuel","11","Translate to French: 10. Sawdust"
"Main alternative fuel","Main alternative fuel","12","Translate to French: 11. Animal waste/dung"
"Main alternative fuel","Main alternative fuel","13","Translate to French: 12. Garbage/plastic"
"Main alternative fuel","Main alternative fuel","14","Translate to French: 13 Other, specify"
"D7","D7","1","Translate to French: Yes"
"D7","D7","0","Translate to French: No"
"Injury infliction","Injury infliction","1","Translate to French: Yes"
"Injury infliction","Injury infliction","0","Translate to French: No"
"D8-1","D8-1","1","Translate to French: Adult burned"
"D8-1","D8-1","2","Translate to French: Child burned"
"D8-1","D8-1","3","Translate to French: Adult scalded"
"D8-1","D8-1","4","Translate to French: Child scalded"
"D8-1","D8-1","5","Translate to French: Fire in house"
"D8-1","D8-1","6","Translate to French: Poisoning"
"D8-1","D8-1","7","Translate to French: Death"
"D8-1","D8-1","8","Translate to French: Other, specify"
"Free fuel","Free fuel","Yes","Translate to French: Yes"
"Free fuel","Free fuel","No","Translate to French: No"
"Costs","Costs_Translate to French: Electricity","1","Y - Translate to French: Electricity"
"Costs","Costs_Translate to French: Electricity","0","N - Translate to French: Electricity"
"Costs","Costs_Translate to French: Kerosene","1","Y - Translate to French: Kerosene"
"Costs","Costs_Translate to French: Kerosene","0","N - Translate to French: Kerosene"
"Costs","Costs_Translate to French: Cooking gas/LPG","1","Y - Translate to French: Cooking gas/LPG"
"Costs","Costs_Translate to French: Cooking gas/LPG","0","N - Translate to French: Cooking gas/LPG"
"Costs","Costs_Translate to French: Charcoal unprocessed","1","Y - Translate to French: Charcoal unprocessed"
"Costs","Costs_Translate to French: Charcoal unprocessed","0","N - Translate to French: Charcoal unprocessed"
"Costs","Costs_Translate to French: Charcoal briquettes/pellets","1","Y - Translate to French: Charcoal briquettes/pellets"
"Costs","Costs_Translate to French: Charcoal briquettes/pellets","0","N - Translate to French: Charcoal briquettes/pellets"
"Costs","Costs_Translate to French: Wood","1","Y - Translate to French: Wood"
"Costs","Costs_Translate to French: Wood","0","N - Translate to French: Wood"
"Costs","Costs_Translate to French: Agricultural or crop residue/grass/straw/shrubs/corn cobs","1","Y - Translate to French: Agricultural or crop residue/grass/straw/shrubs/corn cobs"
"Costs","Costs_Translate to French: Agricultural or crop residue/grass/straw/shrubs/corn cobs","0","N - Translate to French: Agricultural or crop residue/grass/straw/shrubs/corn cobs"
"Costs","Costs_Translate to French: Processed biomass pellets/briquettes","1","Y - Translate to French: Processed biomass pellets/briquettes"
"Costs","Costs_Translate to French: Processed biomass pellets/briquettes","0","N - Translate to French: Processed biomass pellets/briquettes"
"Costs","Costs_Translate to French: Woodchips","1","Y - Translate to French: Woodchips"
"Costs","Costs_Translate to French: Woodchips","0","N - Translate to French: Woodchips"
"Costs","Costs_Translate to French: Sawdust","1","Y - Translate to French: Sawdust"
"Costs","Costs_Translate to French: Sawdust","0","N - Translate to French: Sawdust"
"Costs","Costs_Translate to French: Animal waste/dung","1","Y - Translate to French: Animal waste/dung"
"Costs","Costs_Translate to French: Animal waste/dung","0","N - Translate to French: Animal waste/dung"
"Costs","Costs_Translate to French: Garbage/plastic","1","Y - Translate to French: Garbage/plastic"
"Costs","Costs_Translate to French: Garbage/plastic","0","N - Translate to French: Garbage/plastic"
"Costs","Costs_Translate to French: Other, specify","1","Y - Translate to French: Other, specify"
"Costs","Costs_Translate to French: Other, specify","0","N - Translate to French: Other, specify"
"D12-3","D12-3","1","Translate to French: Yes"
"D12-3","D12-3","0","Translate to French: No"
"D12-6","D12-6","1","Translate to French: Yes"
"D12-6","D12-6","0","Translate to French: No"
"Cost of fuel","Cost of fuel","Yes","Translate to French: Yes"
"Cost of fuel","Cost of fuel","No","Translate to French: No"
"Fuel sources","Fuel sources_Translate to French: Electricity","1","Y - Translate to French: Electricity"
"Fuel sources","Fuel sources_Translate to French: Electricity","0","N - Translate to French: Electricity"
"Fuel sources","Fuel sources_Translate to French: Kerosene","1","Y - Translate to French: Kerosene"
"Fuel sources","Fuel sources_Translate to French: Kerosene","0","N - Translate to French: Kerosene"
"Fuel sources","Fuel sources_Translate to French: Cooking gas/LPG","1","Y - Translate to French: Cooking gas/LPG"
"Fuel sources","Fuel sources_Translate to French: Cooking gas/LPG","0","N - Translate to French: Cooking gas/LPG"
"Fuel sources","Fuel sources_Translate to French: Charcoal unprocessed","1","Y - Translate to French: Charcoal unprocessed"
"Fuel sources","Fuel sources_Translate to French: Charcoal unprocessed","0","N - Translate to French: Charcoal unprocessed"
"Fuel sources","Fuel sources_Translate to French: Charcoal briquettes/pellets","1","Y - Translate to French: Charcoal briquettes/pellets"
"Fuel sources","Fuel sources_Translate to French: Charcoal briquettes/pellets","0","N - Translate to French: Charcoal briquettes/pellets"
"Fuel sources","Fuel sources_Translate to French: Wood","1","Y - Translate to French: Wood"
"Fuel sources","Fuel sources_Translate to French: Wood","0","N - Translate to French: Wood"
"Fuel sources","Fuel sources_Translate to French: Agricultural or crop residue/grass/straw/shrubs/corn cobs","1","Y - Translate to French: Agricultural or crop residue/grass/straw/shrubs/corn cobs"
"Fuel sources","Fuel sources_Translate to French: Agricultural or crop residue/grass/straw/shrubs/corn cobs","0","N - Translate to French: Agricultural or crop residue/grass/straw/shrubs/corn cobs"
"Fuel sources","Fuel sources_Translate to French: Processed biomass pellets/briquettes","1","Y - Translate to French: Processed biomass pellets/briquettes"
"Fuel sources","Fuel sources_Translate to French: Processed biomass pellets/briquettes","0","N - Translate to French: Processed biomass pellets/briquettes"
"Fuel sources","Fuel sources_Translate to French: Woodchips","1","Y - Translate to French: Woodchips"
"Fuel sources","Fuel sources_Translate to French: Woodchips","0","N - Translate to French: Woodchips"
"Fuel sources","Fuel sources_Translate to French: Sawdust","1","Y - Translate to French: Sawdust"
"Fuel sources","Fuel sources_Translate to French: Sawdust","0","N - Translate to French: Sawdust"
"Fuel sources","Fuel sources_Translate to French: Animal waste/dung","1","Y - Translate to French: Animal waste/dung"
"Fuel sources","Fuel sources_Translate to French: Animal waste/dung","0","N - Translate to French: Animal waste/dung"
"Fuel sources","Fuel sources_Translate to French: Garbage/plastic","1","Y - Translate to French: Garbage/plastic"
"Fuel sources","Fuel sources_Translate to French: Garbage/plastic","0","N - Translate to French: Garbage/plastic"
"Fuel sources","Fuel sources_Translate to French: Other, specify","1","Y - Translate to French: Other, specify"
"Fuel sources","Fuel sources_Translate to French: Other, specify","0","N - Translate to French: Other, specify"
"D13-2","D13-2","1","Translate to French: Buy a permit to enter the forest for a set period of time and collect wood"
"D13-2","D13-2","2","Translate to French: Buy a bundle of fire wood"
"D13-2","D13-2","3","Translate to French: Other, specify"
"D13-3","D13-3","1","Translate to French: Always the same"
"D13-3","D13-3","2","Translate to French: Usually the same but sometimes other forested areas"
"D13-3","D13-3","3","Translate to French: Gathers wood from many different forested areas in town"
"D13-3","D13-3","4","Translate to French: Other, specify."
"D13-4","D13-4","1","Translate to French: Monthly"
"D13-4","D13-4","2","Translate to French: Every 2-3 months"
"D13-4","D13-4","3","Translate to French: Other, specify"
"D13-6","D13-6","1","Translate to French: Daily"
"D13-6","D13-6","2","Translate to French: Every two days"
"D13-6","D13-6","3","Translate to French: Every three-four days"
"D13-6","D13-6","4","Translate to French: Weekly"
"D13-6","D13-6","5","Translate to French: Bi-weekly"
"D13-6","D13-6","6","Translate to French: Monthly"
"D13-6","D13-6","7","Translate to French: Other, specify"
"Cooking location","Cooking location","1","Translate to French: In main house: no separate room"
"Cooking location","Cooking location","2","Translate to French: In main house: separate room"
"Cooking location","Cooking location","3","Translate to French: Outside of main house: in a separate room"
"Cooking location","Cooking location","4","Translate to French: Outside of main house in open air"
"Cooking location","Cooking location","5","Translate to French: On veranda or covered porch"
"Cooking location","Cooking location","6","Translate to French: Other, specify"
"Outside Cooking","Outside Cooking","Yes","Translate to French: Yes"
"Outside Cooking","Outside Cooking","No","Translate to French: No"
"Use of heaters","Use of heaters","Yes","Translate to French: Yes"
"Use of heaters","Use of heaters","No","Translate to French: No"
"Mode of heating","Mode of heating","1","Translate to French: Open fire/Three-stone stove"
"Mode of heating","Mode of heating","2","Translate to French: Traditional cookstove (non-manufactured)"
"Mode of heating","Mode of heating","3","Translate to French: Manufactured cookstove"
"Mode of heating","Mode of heating","4","Translate to French: Traditional space heater"
"Mode of heating","Mode of heating","5","Translate to French: Manufactured space heater"
"Mode of heating","Mode of heating","6","Translate to French: Moveable heating pan"
"Mode of heating","Mode of heating","7","Translate to French: Heat Pump"
"Mode of heating","Mode of heating","8","Translate to French: Other, specify"
"E5","E5","1","Translate to French: Yes"
"E5","E5","0","Translate to French: No"
"Lighting energy source","Lighting energy source","1","Translate to French: Electricity (including solar panels)"
"Lighting energy source","Lighting energy source","2","Translate to French: Solar-powered lantern or flashlight"
"Lighting energy source","Lighting energy source","3","Translate to French: Rechargeable flashlight, mobile, torch or lantern"
"Lighting energy source","Lighting energy source","4","Translate to French: Battery powered flashlight, torch or lantern"
"Lighting energy source","Lighting energy source","5","Translate to French: Biogas lamp......................"
"Lighting energy source","Lighting energy source","6","Translate to French: LPG lamp"
"Lighting energy source","Lighting energy source","7","Translate to French: Gasoline lamp..................."
"Lighting energy source","Lighting energy source","8","Translate to French: Kerosene or paraffin lamp"
"Lighting energy source","Lighting energy source","9","Translate to French: Oil lamp"
"Lighting energy source","Lighting energy source","10","Translate to French: Candle"
"Lighting energy source","Lighting energy source","11","Translate to French: Open fire"
"Lighting energy source","Lighting energy source","12","Translate to French: Other, specify"
"E7","E7","1","Translate to French: Yes"
"E7","E7","0","Translate to French: No"
"E8-1","E8-1_Translate to French: No other light source used","1","Y - Translate to French: No other light source used"
"E8-1","E8-1_Translate to French: No other light source used","0","N - Translate to French: No other light source used"
"E8-1","E8-1_Translate to French: Electricity (including solar panels)","1","Y - Translate to French: Electricity (including solar panels)"
"E8-1","E8-1_Translate to French: Electricity (including solar panels)","0","N - Translate to French: Electricity (including solar panels)"
"E8-1","E8-1_Translate to French: Solar-powered lantern or flashlight","1","Y - Translate to French: Solar-powered lantern or flashlight"
"E8-1","E8-1_Translate to French: Solar-powered lantern or flashlight","0","N - Translate to French: Solar-powered lantern or flashlight"
"E8-1","E8-1_Translate to French: Rechargeable flashlight, mobile, torch or lantern","1","Y - Translate to French: Rechargeable flashlight, mobile, torch or lantern"
"E8-1","E8-1_Translate to French: Rechargeable flashlight, mobile, torch or lantern","0","N - Translate to French: Rechargeable flashlight, mobile, torch or lantern"
"E8-1","E8-1_Translate to French: Battery powered flashlight, torch or lantern","1","Y - Translate to French: Battery powered flashlight, torch or lantern"
"E8-1","E8-1_Translate to French: Battery powered flashlight, torch or lantern","0","N - Translate to French: Battery powered flashlight, torch or lantern"
"E8-1","E8-1_Translate to French: Biogas lamp......................","1","Y - Translate to French: Biogas lamp......................"
"E8-1","E8-1_Translate to French: Biogas lamp......................","0","N - Translate to French: Biogas lamp......................"
"E8-1","E8-1_Translate to French: LPG lamp","1","Y - Translate to French: LPG lamp"
"E8-1","E8-1_Translate to French: LPG lamp","0","N - Translate to French: LPG lamp"
"E8-1","E8-1_Translate to French: Gasoline lamp...................","1","Y - Translate to French: Gasoline lamp..................."
"E8-1","E8-1_Translate to French: Gasoline lamp...................","0","N - Translate to French: Gasoline lamp..................."
"E8-1","E8-1_Translate to French: Kerosene or paraffin lamp","1","Y - Translate to French: Kerosene or paraffin lamp"
"E8-1","E8-1_Translate to French: Kerosene or paraffin lamp","0","N - Translate to French: Kerosene or paraffin lamp"
"E8-1","E8-1_Translate to French: Oil lamp","1","Y - Translate to French: Oil lamp"
"E8-1","E8-1_Translate to French: Oil lamp","0","N - Translate to French: Oil lamp"
