"Question name","#","Section","Question Id","Question text","Question type"
"SpecifyWhyChild","51","SECTION F: Child Monitoring ","1535522","Please specify why the child was unable to wear the monitor in this location(s).","Free Text"
"F3","52","SECTION F: Child Monitoring ","1514847","While your child was wearing the monitor, how many hours did he/she spend in the cooking area with you, near the stove?","Time"
"F4","53","SECTION F: Child Monitoring ","1514848","While your child was wearing the monitor, was he or she in the kitchen near the stove the same amount of time as in a typical day?","Select One"
"F5","54","SECTION F: Child Monitoring ","1514849","Does your child (the one that was wearing the monitor) usually remain near you in the kitchen while you are cooking on a typical day?","Select One"
"F6","55","SECTION F: Child Monitoring ","1514850","During the monitoring period, how many times do you think your child was exposed to other potential sources of smoke such as road traffic, trash burning, open fires from neighbours, etc.?","Select One"
"H1","56","SECTION H. HAP Equipment Takedown","1514853","We are now going to remove some equipment from your home. We would like to keep the (Geocene dot) monitors on your stove for a longer period (2 months from the time we placed the dots). Is it okay if we leave the monitors on your stove?","Select One"
"H2","57","SECTION H. HAP Equipment Takedown","1514854","[Download data from all Geocene dots. Click the pencil icon and make sure the Household ID is filled in on each dot. Then remove the dot(s).]                          
 Why do you want the monitor(s) removed from your stove(s)?","Select One"
"H3","58","SECTION H. HAP Equipment Takedown","1514855","[Do not read this question out loud, this is just for you to answer]

Is this home participating in the non-intensive UNOPS study (24-hour monitoring only)?","Select One"
"H3-1","59","SECTION H. HAP Equipment Takedown","1514856","[Do not read this question out loud, this is just for you to answer]

Is this household participating in the intensive UNOPS study (monitors to be left for 4 days)?","Select One"
"H5","60","SECTION H. HAP Equipment Takedown","1514858","Is it okay if I return in 3 days to collect the remaining equipment?","Select One"
"H6","61","SECTION H. HAP Equipment Takedown","1514860","Why do you want the equipment removed from your kitchen/home now?","Select One"
"H7","62","SECTION H. HAP Equipment Takedown","1514861","As you remove monitors please check for visible damage and answer the question below:

[Do not read this question out loud, this is just for you to answer]

Were there any noticeable issues or damage to the instruments that may have compromised the quality of the data? If so, which monitor(s) were affected (Please write down ID number of monitor(s)).","Free Text"
