"Question","Variable","Value","Label"
"D6","D6_Garbage/plastic","1","Y - Garbage/plastic"
"D6","D6_Garbage/plastic","0","N - Garbage/plastic"
"D6","D6_None","1","Y - None"
"D6","D6_None","0","N - None"
"D6","D6_Other, specify","1","Y - Other, specify"
"D6","D6_Other, specify","0","N - Other, specify"
"D7","D7","Yes","Yes"
"D7","D7","No","No"
"D8","D8_Electricity","1","Y - Electricity"
"D8","D8_Electricity","0","N - Electricity"
"D8","D8_Kerosene","1","Y - Kerosene"
"D8","D8_Kerosene","0","N - Kerosene"
"D8","D8_Cooking gas/LPG","1","Y - Cooking gas/LPG"
"D8","D8_Cooking gas/LPG","0","N - Cooking gas/LPG"
"D8","D8_Charcoal unprocessed","1","Y - Charcoal unprocessed"
"D8","D8_Charcoal unprocessed","0","N - Charcoal unprocessed"
"D8","D8_Charcoal briquettes/pellets","1","Y - Charcoal briquettes/pellets"
"D8","D8_Charcoal briquettes/pellets","0","N - Charcoal briquettes/pellets"
"D8","D8_Wood","1","Y - Wood"
"D8","D8_Wood","0","N - Wood"
"D8","D8_Agricultural or crop residue/grass/","1","Y - Agricultural or crop residue/grass/"
"D8","D8_Agricultural or crop residue/grass/","0","N - Agricultural or crop residue/grass/"
"D8","D8_straw/shrubs/corn cobs","1","Y - straw/shrubs/corn cobs"
"D8","D8_straw/shrubs/corn cobs","0","N - straw/shrubs/corn cobs"
"D8","D8_Processed biomass pellets/briquettes","1","Y - Processed biomass pellets/briquettes"
"D8","D8_Processed biomass pellets/briquettes","0","N - Processed biomass pellets/briquettes"
"D8","D8_Woodchips","1","Y - Woodchips"
"D8","D8_Woodchips","0","N - Woodchips"
"D8","D8_Sawdust","1","Y - Sawdust"
"D8","D8_Sawdust","0","N - Sawdust"
"D8","D8_Animal waste/dung","1","Y - Animal waste/dung"
"D8","D8_Animal waste/dung","0","N - Animal waste/dung"
"D8","D8_Garbage/plastic","1","Y - Garbage/plastic"
"D8","D8_Garbage/plastic","0","N - Garbage/plastic"
"D8","D8_Other, specify","1","Y - Other, specify"
"D8","D8_Other, specify","0","N - Other, specify"
"D9","D9","Yes","Yes"
"D9","D9","No","No"
"D12","D12_Electricity","1","Y - Electricity"
"D12","D12_Electricity","0","N - Electricity"
"D12","D12_Kerosene","1","Y - Kerosene"
"D12","D12_Kerosene","0","N - Kerosene"
"D12","D12_Cooking gas/LPG","1","Y - Cooking gas/LPG"
"D12","D12_Cooking gas/LPG","0","N - Cooking gas/LPG"
"D12","D12_Charcoal unprocessed","1","Y - Charcoal unprocessed"
"D12","D12_Charcoal unprocessed","0","N - Charcoal unprocessed"
"D12","D12_Charcoal briquettes/pellets","1","Y - Charcoal briquettes/pellets"
"D12","D12_Charcoal briquettes/pellets","0","N - Charcoal briquettes/pellets"
"D12","D12_Wood","1","Y - Wood"
"D12","D12_Wood","0","N - Wood"
"D12","D12_Agricultural or crop residue/grass/","1","Y - Agricultural or crop residue/grass/"
"D12","D12_Agricultural or crop residue/grass/","0","N - Agricultural or crop residue/grass/"
"D12","D12_straw/shrubs/corn cobs","1","Y - straw/shrubs/corn cobs"
"D12","D12_straw/shrubs/corn cobs","0","N - straw/shrubs/corn cobs"
"D12","D12_Processed biomass pellets/briquettes","1","Y - Processed biomass pellets/briquettes"
"D12","D12_Processed biomass pellets/briquettes","0","N - Processed biomass pellets/briquettes"
"D12","D12_Woodchips","1","Y - Woodchips"
"D12","D12_Woodchips","0","N - Woodchips"
"D12","D12_Sawdust","1","Y - Sawdust"
"D12","D12_Sawdust","0","N - Sawdust"
"D12","D12_Animal waste/dung","1","Y - Animal waste/dung"
"D12","D12_Animal waste/dung","0","N - Animal waste/dung"
"D12","D12_Garbage/plastic","1","Y - Garbage/plastic"
"D12","D12_Garbage/plastic","0","N - Garbage/plastic"
"D12","D12_Other, specify","1","Y - Other, specify"
"D12","D12_Other, specify","0","N - Other, specify"
"D10","D10","1","In main house: no separate room"
"D10","D10","2","In main house: separate room"
"D10","D10","3","Outside of main house: in a separate room"
"D10","D10","4","Outside of main house in open air"
"D10","D10","5","On veranda or covered porch"
"D10","D10","6","Other, specify"
"D11","D11","Yes","Yes"
"D11","D11","No","No"
"E1","E1","Yes","Yes"
"E1","E1","No","No"
"E3","E3","1","Open fire/Three-stone stove"
"E3","E3","2","Traditional cookstove (non-manufactured)"
"E3","E3","3","Manufactured cookstove"
"E3","E3","4","Traditional space heater"
"E3","E3","5","Manufactured space heater"
"E3","E3","6","Moveable heating pan"
"E3","E3","7","Heat Pump"
"E3","E3","8","Other, specify"
"E4","E4","1","Electricity (including solar panels)"
"E4","E4","2","Solar-powered lantern or flashlight"
"E4","E4","3","Rechargeable flashlight, mobile, torch or lantern"
"E4","E4","4","Battery powered flashlight, torch or lantern"
"E4","E4","5","Biogas lamp"
"E4","E4","6","LPG lamp"
"E4","E4","7","Gasoline lamp"
"E4","E4","8","Kerosene or paraffin lamp"
"E4","E4","9","Oil lamp"
"E4","E4","10","Candle"
"E4","E4","11","Open fire"
"E4","E4","12","Other, specify"
"F1","F1","Yes ","Yes "
"F1","F1","No","No"
"F3","F3_3 kg","1","Y - 3 kg"
"F3","F3_3 kg","0","N - 3 kg"
"F3","F3_6 kg","1","Y - 6 kg"
"F3","F3_6 kg","0","N - 6 kg"
"F3","F3_13 kg","1","Y - 13 kg"
"F3","F3_13 kg","0","N - 13 kg"
"F3","F3_16 kg","1","Y - 16 kg"
"F3","F3_16 kg","0","N - 16 kg"
"F3","F3_Other, specify","1","Y - Other, specify"
"F3","F3_Other, specify","0","N - Other, specify"
"F5","F5","1","About 1-2 weeks"
"F5","F5","2","About 3 weeks"
"F5","F5","3","About a month"
"F5","F5","4","About a month an a half"
"F5","F5","5","About 2 months"
"F5","F5","6","About 3 months"
"F5","F5","7","More than 3 months"
"F5","F5","8","Other, specify"
"F7","F7","1","Less than a year ago"
"F7","F7","2","1 to 2 years ago"
"F7","F7","3","More than 2 years but less than 5 years ago"
"F7","F7","4","Between 5 and 10 years ago"
"F7","F7","5","More than 10 years ago"
"F11","F11","1","On foot"
"F11","F11","2","By car"
"F11","F11","3","By scooter/ motorbike"
"F11","F11","4","By bicycle"
"F11","F11","5","Public transport"
"F11","F11","6","Home delivery  "
"F11","F11","7","Others, specify"
"F13","F13","No Cost","No Cost"
"F13","F13","Specify Amount","Specify Amount"
"G1","G1","Yes","Yes"
"G1","G1","No","No"
"G2","G2","1","I am satisfied with my current cooking stove / fuel"
"G2","G2","2","I have safety concerns"
"G2","G2","3","I cannot afford the initial cost of the gas stove and cylinder"
"G2","G2","4","I cannot afford the gas refills"
"G2","G2","5","Refills are not always available at retail point"
"G2","G2","6","It is too far to go to get refills (distance problem)"
"G2","G2","7","It is difficult to get to the refill point"
"G2","G2","8","I cannot cook all meals with LPG"
"G2","G2","9","I am not certain (don’t know)"
"G2","G2","10","Other family members don’t want LPG"
"G2","G2","11","Other reasons, specify"
"G3","G3","1","Respondent"
"G3","G3","2","Spouse/partner"
"G3","G3","3","Other, specify"
"I1","I1","1","Refused to be interviewed"
"I1","I1","2","Target respondent (main cook and/or household head) not at home"
"I1","I1","3","No one in the household"
"I1","I1","4","No adult member in the household"
"I1","I1","5","Other (please give detail):"
"H1","H1","Yes","Yes"
"H1","H1","No","No"
"J1","J1","1","Concrete"
"J1","J1","2","Tiles"
"J1","J1","3","Bamboo"
"J1","J1","4","Mud/clay"
"J1","J1","5","Sand"
"J1","J1","6","Other, specify"
"J2","J2","1","Metal/Iron sheets"
"J2","J2","2","Grass thatch/mud/wood/straw"
"J2","J2","3","Cement"
"J2","J2","4","Asbestos"
"J2","J2","5","Other, specify"
"J3","J3","1","Mud"
"J3","J3","2","Cement"
"J3","J3","3","Brick"
"J3","J3","4","Cement/mud mixed"
"J3","J3","5","Meta/irons sheets"
"J3","J3","6","Stone"
"J3","J3","8","Wood "
"J3","J3","7","Other, specify"
